Customer_ID,totmou,totrev,creditcd,eqpdays
1082423,7269.0,906.58,Y,371
1069232,13552.0,1172.25,N,83
1031705,4152.0,577.39,Y,675
1089806,1863.0,294.26,Y,218
1076695,4155.0,433.16,N,222
1091652,5441.0,578.8,Y,68
1043846,7294.0,1495.18,Y,460
1088967,4395.0,668.23,N,333
1045239,11544.0,1012.64,Y,498
1046584,3751.0,1199.89,Y,592
1076771,288.0,374.98,Y,284
1057800,2030.0,1026.31,Y,439
1083737,1928.0,396.78,Y,261
1008539,4078.0,1257.05,Y,1019
1056697,4874.0,246.77,Y,507
1097730,810.0,240.94,N,131
1020126,4411.0,1252.91,Y,741
1078557,2781.0,590.26,Y,276
1018015,24069.0,2129.74,Y,199
1016607,284.0,825.15,Y,4
1015068,5960.0,1902.45,Y,809
1013855,1330.0,898.34,Y,877
1044329,12625.0,992.67,Y,552
1088984,10194.0,1089.04,N,209
1029191,9223.0,1452.24,N,745
1045505,5699.0,1052.28,Y,109
1021478,3706.0,734.3,Y,255
1040941,9195.0,959.63,N,486
1005998,1489.0,982.18,Y,958
1064411,6282.0,729.54,Y,357
1016302,6721.0,926.03,Y,893
1013751,6346.0,1453.43,Y,460
1029380,1834.0,610.87,Y,575
1091059,9703.0,952.3,N,135
1008208,36302.0,5020.37,Y,257
1091061,1989.0,388.85,N,206
1023685,12620.0,1959.49,Y,509
1035097,1502.0,690.12,Y,603
1015658,59449.0,3531.09,Y,380
1068005,11271.0,671.8,N,440
1055064,2066.0,499.82,N,168
1091273,3385.0,428.99,N,311
1001867,21518.05,2769.67,Y,657
1062755,1438.0,445.47,Y,304
1072218,5684.0,857.65,,244
1056368,10517.0,1108.0,N,307
1032592,2842.0,606.76,Y,564
1066597,925.0,373.12,,344
1068315,5124.0,652.27,N,377
1005704,21991.0,2809.08,Y,241
1047767,2524.0,196.84,N,580
1068378,3981.0,643.93,Y,331
1013047,4957.0,826.92,Y,790
1011089,4120.0,1186.64,Y,902
1045750,9121.0,814.08,N,71
1076112,9275.0,536.59,N,126
1076198,4787.0,1173.96,Y,333
1056196,1737.0,522.76,Y,403
1027338,7736.0,1348.68,Y,245
1086911,10267.0,804.71,Y,353
1088347,4060.0,503.72,Y,340
1007086,2097.0,1421.31,Y,569
1054933,3639.0,276.21,Y,111
1028649,7533.0,1250.63,Y,641
1085074,1636.0,543.83,Y,363
1051671,4210.0,1028.72,N,428
1053959,5871.0,468.14,Y,254
1027630,15067.0,1705.5,Y,45
1049266,3727.0,1629.76,Y,566
1019146,2038.0,1000.84,N,796
1048761,2152.0,828.12,Y,461
1002366,2892.0,1102.53,Y,219
1028772,6675.0,803.92,Y,121
1070208,3275.0,324.41,Y,318
1019471,14502.0,1776.55,N,748
1089778,1320.0,445.91,Y,325
1019639,2863.0,809.41,Y,618
1046932,9213.0,1141.79,N,420
1046285,18750.0,1485.02,Y,534
1068224,8167.0,672.36,N,332
1018335,2022.0,815.4,N,661
1089902,6047.0,545.66,Y,40
1055525,4668.0,873.59,Y,408
1074220,6648.0,590.21,N,295
1051859,9579.0,1261.47,Y,194
1059340,1343.0,417.31,Y,324
1071184,3456.0,514.72,Y,18
1062599,3187.0,590.87,Y,16
1048824,3714.0,691.67,Y,257
1007540,3841.0,998.41,Y,931
